date,Price
12/10/2015,415.5
01/11/2015,264.8
02/11/2015,218.8
03/11/2015,295.6
04/11/2015,236.5
05/11/2015,241.8
06/11/2015,229.9
07/11/2015,292
08/11/2015,269
09/11/2015,239.9
10/11/2015,247.6
11/11/2015,304.7
12/11/2015,449.8
01/12/2015,269.3
02/12/2015,221.8
03/12/2015,293.9
04/12/2015,235.9
05/12/2015,241.6
06/12/2015,230.5
07/12/2015,310.4
08/12/2015,267.7
09/12/2015,235.6
10/12/2015,245.4
11/12/2015,333.9
12/12/2015,432.3
01/01/2016,434
02/01/2016,372.2
03/01/2016,434
04/01/2016,415.6
05/01/2016,452.2
06/01/2016,537.4
07/01/2016,674.6
08/01/2016,607
09/01/2016,572
10/01/2016,613.4
11/01/2016,726.8
12/01/2016,752.6
01/02/2016,433.7
02/02/2016,373.9
03/02/2016,425.4
04/02/2016,418.5
05/02/2016,444.2
06/02/2016,537.1
07/02/2016,698.1
08/02/2016,513.4
09/02/2016,575.3
10/02/2016,610.7
11/02/2016,733.5
12/02/2016,770.9
01/03/2016,430.7
02/03/2016,368
03/03/2016,419.6
04/03/2016,419.1
05/03/2016,450.3
06/03/2016,567
07/03/2016,661.6
08/03/2016,566.4
09/03/2016,598.8
10/03/2016,611.6
11/03/2016,684.9
12/03/2016,764.2
01/04/2016,433.3
02/04/2016,390.6
03/04/2016,409.5
04/04/2016,419.3
05/04/2016,445.8
06/04/2016,572
07/04/2016,675.2
08/04/2016,576.2
09/04/2016,609.5
10/04/2016,609
11/04/2016,702.1
12/04/2016,766.4
01/05/2016,431.2
02/05/2016,386.5
03/05/2016,399
04/05/2016,422.1
05/05/2016,448.1
06/05/2016,574.9
07/05/2016,663.7
08/05/2016,574.7
09/05/2016,605.8
10/05/2016,611.8
11/05/2016,702.1
12/05/2016,754.3
01/06/2016,430.8
02/06/2016,376.7
03/06/2016,406
04/06/2016,421.3
05/06/2016,459.6
06/06/2016,583.6
07/06/2016,672.7
08/06/2016,586.5
09/06/2016,610.4
10/06/2016,611
11/06/2016,709.9
12/06/2016,758.2
01/07/2016,457
02/07/2016,377.9
03/07/2016,414.9
04/07/2016,420.1
05/07/2016,458.5
06/07/2016,575.6
07/07/2016,635.3
08/07/2016,590.8
09/07/2016,613.2
10/07/2016,616
11/07/2016,705.4
12/07/2016,765.6
01/08/2016,452.9
02/08/2016,372.6
03/08/2016,411.9
04/08/2016,417.7
05/08/2016,457.9
06/08/2016,580.5
07/08/2016,662.8
08/08/2016,589.2
09/08/2016,625.6
10/08/2016,617.7
11/08/2016,710.9
12/08/2016,768.5
01/09/2016,448.3
02/09/2016,375.3
03/09/2016,412.8
04/09/2016,418
05/09/2016,460.4
06/09/2016,574.7
07/09/2016,651.8
08/09/2016,585.3
09/09/2016,623.2
10/09/2016,615.8
11/09/2016,721.4
12/09/2016,770.5
01/10/2016,446.2
02/10/2016,381.9
03/10/2016,415.8
04/10/2016,420.3
05/10/2016,449.4
06/10/2016,577.9
07/10/2016,647.1
08/10/2016,590.9
09/10/2016,624.5
10/10/2016,617.3
11/10/2016,714.6
12/10/2016,774
01/11/2016,447.7
02/11/2016,379.5
03/11/2016,419.1
04/11/2016,421.4
05/11/2016,452.5
06/11/2016,591.6
07/11/2016,646.7
08/11/2016,587.8
09/11/2016,605.6
10/11/2016,640.5
11/11/2016,715
12/11/2016,767.9
01/12/2016,445
02/12/2016,384
03/12/2016,410.4
04/12/2016,424.7
05/12/2016,454.4
06/12/2016,666.5
07/12/2016,670.6
08/12/2016,587.1
09/12/2016,608
10/12/2016,636
11/12/2016,704.3
12/12/2016,778.5
01/01/2017,995.4
02/01/2017,982.4
03/01/2017,1222.7
04/01/2017,1086.1
05/01/2017,1415.8
06/01/2017,2412.6
07/01/2017,2424.6
08/01/2017,2747
09/01/2017,4921.9
10/01/2017,4403.1
11/01/2017,6737.8
12/01/2017,10861.5
01/02/2017,1017
02/02/2017,1004
03/02/2017,1255.5
04/02/2017,1097.4
05/02/2017,1445.9
06/02/2017,2492.6
07/02/2017,2536.5
08/02/2017,2720.5
09/02/2017,4573.8
10/02/2017,4401.3
11/02/2017,7024.8
12/02/2017,10912.7
01/03/2017,1033.3
02/03/2017,1013
03/03/2017,1283.3
04/03/2017,1147.6
05/03/2017,1485.6
06/03/2017,2545.4
07/03/2017,2572.5
08/03/2017,2810
09/03/2017,4612.9
10/03/2017,4314.2
11/03/2017,7152.1
12/03/2017,11246.2
01/04/2017,1135.4
02/04/2017,1031.8
03/04/2017,1264.3
04/04/2017,1141.8
05/04/2017,1516.8
06/04/2017,2524.1
07/04/2017,2617.3
08/04/2017,2878.5
09/04/2017,4267.5
10/04/2017,4218.7
11/04/2017,7363.8
12/04/2017,11623.9
