date,Price,Volume
01/11/2019,3616.5,551640
01/10/2019,3603.7,697310
01/09/2019,3978,473420
01/08/2019,3971,514080
01/07/2019,3985.9,500880
01/06/2019,4004.1,529890
01/05/2019,3785.4,468450
01/04/2019,3802.7,488700
01/03/2019,3780.1,450320
01/02/2019,3873.8,554470
01/01/2019,3809.4,469110
12/31/2018,3709.4,545830
12/30/2018,3815,519170
12/29/2018,3706.8,505410
12/28/2018,3861.6,565240
12/27/2018,3586.9,543440
12/26/2018,3793.7,567110
12/25/2018,3762.5,670940
12/24/2018,4026.1,716290
12/23/2018,3944.4,572210
12/22/2018,3964.4,554590
12/21/2018,3850.9,748760
12/20/2018,4076,958580
12/19/2018,3687.1,792400
12/18/2018,3668,698530
12/17/2018,3526.1,534780
12/16/2018,3247.9,335690
12/15/2018,3228.7,332950
12/14/2018,3247.8,445560
12/13/2018,3315.3,435890
12/12/2018,3466.1,391170
12/11/2018,3407.7,418530
12/10/2018,3460.5,394490
12/09/2018,3567.5,327930
12/08/2018,3430.4,424400
12/07/2018,3422.2,639330
12/06/2018,3508.6,467540
12/05/2018,3771.6,341600
12/04/2018,3958.5,326710
12/03/2018,3897.8,355100
12/02/2018,4160.4,298630
12/01/2018,4196.2,316300
11/30/2018,4039.7,444520
11/29/2018,4296.5,414460
11/28/2018,4265.4,533040
11/27/2018,3866.5,457270
11/26/2018,3837,571040
11/25/2018,4062.2,619950
11/24/2018,3920.4,382720
11/23/2018,4398,348990
11/22/2018,4356,261850
11/21/2018,4638.7,412740
11/20/2018,4524.6,714080
11/19/2018,4883.8,478260
11/18/2018,5658.3,158680
11/17/2018,5621.8,156510
11/16/2018,5636.2,224120
11/15/2018,5718.9,375860
11/14/2018,5842.4,438210
11/13/2018,6429.2,137600
11/12/2018,6435,130160
11/11/2018,6446.1,127400
11/10/2018,6427.1,115870
11/09/2018,6412,151600
11/08/2018,6474,159300
11/07/2018,6565.3,170760
11/06/2018,6502.8,154870
11/05/2018,6459.7,128510
11/04/2018,6478.2,128760
